vendor_name,match_key,currency,outstanding_aed,open_cn_aed,total_bills,last_bill_date,last_payment_date,activity,reason_code,reviewer_note,finance_note,source
LOGI CONNECTS LLC,logi connects,AED,498160.6,32160.0,295,2026-06-18,2026-06-25,ACTIVE,PAYMENT_PLAN,To pay as per Plan,Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
ChromaDex Inc.,chromadex,USD,380388.04,0,18,2026-05-15,2026-04-09,ACTIVE,OTHER,Overdue to be paid,Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
Anugrahita Enterprises Private Limited,anugrahita enterprises,INR,239916.07,0,5,2026-06-16,2026-05-12,ACTIVE,ADVANCE_UNAPPLIED,advance paid there shouldnt be any overdue,Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
"Scale Global Ventures Pte. Ltd.,",scale global ventures pte,USD,155515.1,0,3,2025-12-06,,Less activity/transactions,REMOVE_FROM_AP,Remove,Remove,Excluded vendors.xlsx (review as at 2026-07-17)
Google Ireland Limited,google ireland,AED,142147.38,0,5,2026-06-30,2026-05-20,ACTIVE,CURRENT_OK,paid on terms no overdue,Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
Centenarians Life Sciences Pvt. Ltd.,centenarians life sciences,INR,121731.4,0,16,2026-05-09,2026-01-08,ACTIVE,ADVANCE_UNAPPLIED,advance paid there shouldnt be any overdue,Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
Humantra DMCC,humantra,AED,120541.0,0,35,2026-07-08,2026-06-30,ACTIVE,CURRENT_OK,paid on terms no overdue,Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
Q-Tech General Trading LLC,q tech general trading,AED,114872.77,0,119,2026-04-05,2025-12-31,RECENTLY ACTIVE,CONTROL_ACCOUNT,Remove its a Control A/c,Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
BRILLARE SCIENCE LTD,brillare science,AED,99541.92,0,1,2026-05-22,,ACTIVE,ADVANCE_UNAPPLIED,advance paid there shouldnt be any overdue,Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
Wellversed Health Private Limited,wellversed health,AED,86047.01,0,10,2026-06-30,2026-05-20,ACTIVE,SOA_PENDING,Request SOA,Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
BIOMAX TRADING LLC,biomax trading,AED,85169.33,0,64,2026-07-03,2026-06-30,ACTIVE,SETOFF_RECEIVABLE,no overdues need to setoff,Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
Porter Express Document Delivery Co,porter express document delivery,AED,76553.89,0,7,2026-06-30,2026-05-31,ACTIVE,SETOFF_RECEIVABLE,setoff against receivable,Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
Nutritionalab Private Limited,nutritionalab,USD,72449.61,0,50,2026-05-31,2026-06-04,ACTIVE,ADVANCE_UNAPPLIED,advance paid there shouldnt be any overdue,Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
Mosaic wellness private limited,mosaic wellness,USD,71494.77,0,23,2026-04-27,2026-03-31,ACTIVE,SOA_PENDING,cleared soa,Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
C.M.Cosmetics,c m cosmetics,INR,60087.12,0,2,2025-10-25,,Less activity/transactions,REMOVE_FROM_AP,Remove,This should be zero - all purcahses made by using PEMO,Excluded vendors.xlsx (review as at 2026-07-17)
Kama Ayurveda Private Limited,kama ayurveda,INR,55362.3,0,5,2026-05-07,,ACTIVE,REMOVE_FROM_AP,Remove,Remove- now billing from Green paradize/Axislink,Excluded vendors.xlsx (review as at 2026-07-17)
Heavenly Secrets Private Limited,heavenly secrets,USD,54415.4,1399.3,35,2026-06-19,2026-06-25,ACTIVE,SOA_PENDING,Request SOA,Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
BizFlare Tech FZ LLC,bizflare tech,AED,52776.68,0,2,2026-05-26,2026-06-22,ACTIVE,ADVANCE_UNAPPLIED,advance paid there shouldnt be any overdue,Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
Axislink Exports Pvt Ltd,axislink exports,INR,52023.59,0,8,2026-05-19,2026-06-19,ACTIVE,SOA_PENDING,Request SOA,Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
MERHAKI FOODS AND NUTRITION PRIVATE LIMITED,merhaki foods and nutrition,INR,51208.02,0,16,2026-06-05,2026-04-08,ACTIVE,SOA_PENDING,"Request SOA, there is fewnew ivoices overdue",Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
Porter Express W.L.L,porter express,AED,50665.14,0,50,2026-05-31,2026-04-30,ACTIVE,ADVANCE_UNAPPLIED,advance paid there shouldnt be any overdue,Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
Redcliffe Hygiene Private Ltd,redcliffe hygiene,USD,47639.79,0,30,2026-04-20,2026-04-18,ACTIVE,ADVANCE_UNAPPLIED,advance paid there shouldnt be any overdue,Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
Alfa One Drug Store LLC,alfa one drug store,AED,47046.0,0,8,2026-05-21,2026-05-19,ACTIVE,ADVANCE_UNAPPLIED,advance paid there shouldnt be any overdue,Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
RASAYANAM NUTRIPHARM PRIVATE LIMITED,rasayanam nutripharm,AED,46952.5,0,6,2026-04-24,2026-06-24,ACTIVE,SOA_PENDING,Request SOA,Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
Compass Laboratory,compass laboratory,AED,34952.68,0,29,2025-10-22,2025-10-05,Less activity/transactions,UNREVIEWED,,This should be zero - all purcahses made by using PEMO,Excluded vendors.xlsx (review as at 2026-07-17)
StyleKoreon,stylekoreon,USD,34764.4,0,5,2026-05-20,2026-05-21,ACTIVE,ADVANCE_UNAPPLIED,advance paid there shouldnt be any overdue,Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
Amazon Marketplace - Kuwa KSA,amazon marketplace kuwa ksa,AED,30751.27,353.15,83,2025-12-31,2025-12-31,Less activity/transactions,CONTROL_ACCOUNT,Control A/C remove,This is SAHA,Excluded vendors.xlsx (review as at 2026-07-17)
3S Fitness Technologies Private Limited,3s fitness technologies,USD,29434.54,0,8,2025-03-26,2025-02-25,Not active,UNREVIEWED,,Remove,Excluded vendors.xlsx (review as at 2026-07-17)
Kindlife Korea,kindlife korea,AED,28641.22,0,6,2026-05-08,2026-05-20,ACTIVE,ADVANCE_UNAPPLIED,advance paid there shouldnt be any overdue,Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
Harmonix - F.Z.C,harmonix f z c,AED,28481.3,0,1,2026-06-13,,ACTIVE,CURRENT_OK,no overdue paid last week,Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
Cambridge Nutraceuticals,cambridge nutraceuticals,GBP,27526.88,0,49,2026-06-09,2026-06-04,ACTIVE,CURRENT_OK,paid on terms no overdue,Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
SHARJAH DRUG STORE L.L.C.,sharjah drug store,AED,27065.36,0,10,2026-06-11,2026-06-11,ACTIVE,SOA_PENDING,Request SOA,This should be zero,Excluded vendors.xlsx (review as at 2026-07-17)
Red Rock Real Estate LLC,red rock real estate,AED,25897.5,0,2,2026-01-02,2026-02-13,Less activity/transactions,CURRENT_OK,I think no overdue this was closed last year if i am not wrong,Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
Zone Delivery Services,zone delivery services,AED,24894.35,0,42,2026-05-01,2026-05-05,ACTIVE,CURRENT_OK,1 month outstandng to be cleared by EOM,Need to keep - but there will be a mazimum of 2 months bill outstanding,Excluded vendors.xlsx (review as at 2026-07-17)
Shopify International Limited,shopify international,AED,22848.21,165.12,86,2025-12-31,2025-11-30,Less activity/transactions,CURRENT_OK,"no overdue, direct debit from pemo",This should be zero - all purcahses made by using PEMO,Excluded vendors.xlsx (review as at 2026-07-17)
Inmart Commerce Private Limited,inmart commerce,USD,22227.82,0,44,2026-05-13,2026-06-05,ACTIVE,PAYMENT_PLAN,Need to pay 4854 USD by 1 week of august,Need to keep - Ask SOA - this shouldnt be this much,Excluded vendors.xlsx (review as at 2026-07-17)
Supercare Pharmacy,supercare pharmacy,AED,19610.75,0,4,2026-07-02,2026-01-29,ACTIVE,ADVANCE_UNAPPLIED,advance paid there shouldnt be any overdue,Prepaid for now but credit in future,Excluded vendors.xlsx (review as at 2026-07-17)
Asyad Express SPC,asyad express spc,OMR,19260.56,0,42,2026-06-01,2025-10-01,ACTIVE,SETOFF_RECEIVABLE,no overdues need to setoff,Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
Clinova,clinova,GBP,18176.08,0,7,2026-04-30,2026-02-10,ACTIVE,SOA_PENDING,Request SOA,Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
Peter's Health Products Limited,peter s health products,GBP,16959.12,0,24,2026-05-19,2026-05-22,ACTIVE,ADVANCE_UNAPPLIED,advance paid there shouldnt be any overdue,Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
HABIT MARKET TRADING L.L.C,habit market trading,AED,15531.78,0,2,2026-03-28,2026-06-27,RECENTLY ACTIVE,CURRENT_OK,paid on terms no overdue,Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
Medilica Drug Store L.L.C.,medilica drug store,AED,14990.03,0,36,2026-03-30,2026-02-10,RECENTLY ACTIVE,PAYMENT_PLAN,Need to pay 13905 AED,Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
