snapshot_date,source_tab,vendor_rows,total_aed
2024-08-19,AP - 19-08-2024,168,4935611.53
2024-08-26,AP - 26-08-24,144,4726688.56
2024-09-09,AP - 09-09-24,145,4944533.14
2024-09-18,AP - 18-09-24,168,4989727.51
2024-09-23,Ap - 23-09-2024,152,4973077.1
2024-09-30,Ap - 30-09-2024,167,5534696.99
2024-10-07,Ap - 07-10-2024,178,5432267.59
2024-10-14,Ap - 14-10-2024,168,5417858.43
2024-10-21,Ap - 21-10-2024,164,5325126.48
2024-10-28,Ap - 28-10-2024,185,5772776.83
2024-11-04,Ap - 04-11-2024,175,5737656.1
2025-04-02,AP 02-04-2025,154,4512923.85
2025-04-07,AP 07-04-2025,152,4582859.27
2025-04-08,AP 08-04-2025,166,5880504.42
2025-04-11,AP 11-04-2025,112,6078539.91
2025-04-14,AP 14-04-2025,96,4097677.09
2025-04-21,AP 21-04-2025,94,4161507.34
2025-04-28,AP 28-04-2025,133,4256540.87
2025-05-26,AP 26-05-2025,120,5529514.13
2025-06-02,AP-02-06-2025,148,5999099.85
2025-06-09,Ap-09-06-2025,153,6020713.44
2025-06-16,AP 16-06-2025,155,5922864.93
2025-06-23,AP 23-06-25,158,5932809.01
2025-06-30,AP 30-06-2025,149,5347141.01
2025-07-07,AP 07-07-2025,151,5444914.68
2025-07-14,AP 14-07-2025,151,5339278.61
2025-07-21,AP 21-07-2025,156,5444028.64
2025-08-18,AP 18-08-2025,110,6899126.86
2025-08-25,AP 25-08-2025,110,6408638.29
2025-09-01,AP 01-09-2025,108,6412248.87
2025-09-29,AP 29-09-2025,97,7431723.34
2025-10-13,AP 13-10-2025,220,9516414.44
2025-10-20,AP 20-10-2025,192,8193791.78
2025-10-27,AP 27-10-2025,178,7406324.28
2025-11-03,AP 03-11-2025,157,7101155.33
2025-11-10,AP 10-11-2025,142,7097054.65
2025-11-17,AP 17-11-2025,138,6609035.43
2025-11-24,AP 24-11-2025,130,7349085.68
2025-12-08,AP 08-12-2025,164,8389322.83
2025-12-15,AP 15-12-2025,133,8096622.58
2025-12-22,AP 22-12-2025,134,7483522.42
2025-12-29,AP 29-12-2025,133,8026040.81
2026-01-05,AP 05-01-2026,129,8053991.1
2026-01-12,AP 12-01-2026,130,7028270.47
2026-01-19,AP 19-01-2026,108,6934784.55
2026-01-26,Ap 26-01-2026,105,7169400.69
2026-02-02,AP 02-02-2026,99,7035654.61
2026-02-09,AP-09-02-2026,84,6437967.31
2026-02-16,AP 16-02-2026,82,7405321.44
2026-02-23,AP 23-02-2026,81,7299098.83
2026-03-02,AP 2-03-2026,183,7555955.82
2026-03-09,AP 09-03-2026,174,7579062.28
2026-03-16,AP 16-03-2026,172,7536552.5
2026-03-23,AP 23-03-2026,171,8275213.02
2026-03-30,AP 30-03-2026,166,7825304.28
2026-04-06,AP 06-04-2026,163,8223116.84
2026-04-20,AP 20-04-2026,113,7892504.57
2026-04-27,AP 27-04-2026,109,7953889.35
2026-05-04,AP 04-05-2026,106,7208665.75
2026-05-11,AP 11-05-2026,107,7221007.31
2026-05-18,AP 18-05-2026,107,7762215.82
2026-05-25,AP 25-05-2026,103,7229150.83
2026-06-01,AP 01-06-2026,193,9187631.15
2026-06-08,AP 08-06-2026,191,8662853.65
2026-06-13,AP 13-06-2026,141,8096621.19
2026-06-16,AP 16-06-2026,195,7898399.07
2026-06-22,AP 22-06-2026,183,8558970.25
2026-06-29,AP 29-06-2026,190,9274822.37
2026-07-06,AP 06-07-2026,202,7812428.12
2026-07-13,AP 13-07-2026,202,7786545.46
2026-07-20,AP 20-07-2026,204,8334887.13
2026-07-27,AP 27-07-2026,197,10919155.56
2026-08-03,AP 03-08-2026,193,10771885.1
2026-08-10,AP 10-08-2026,190,11384191.61
2026-08-17,AP 17-08-2026,332,10256453.36
2026-08-24,AP 24-08-2026,337,11874888.06
2026-08-31,AP 31-08-2026,329,8060916.19
2026-09-07,AP 07-09-2026,328,8768793.56
2026-09-14,AP 14-09-2026,326,10305116.0
