Vendor,Entities,Suggested Account,Assign Account,Status,Confidence,Txns,Amount,Accounts Used,Source,Matched As
1MG,DMCC,,,Unmapped,,,,,,
24 Fitness - Belhasa Sports,DMCC,,,Unmapped,,,,,,
24 SEVEN HOMECARE,DMCC,,,Unmapped,,,,,,
3S Fitness Technologies Private Limited,"DMCC, KUWA",Inventory Asset,Inventory Asset,Suggested,100%,8,155948.81,1,Zoho Bills (line items),3S Fitness Technologies Private Limited
5 Rhythms,DMCC,,,Unmapped,,,,,,
5TAR MARKETING,DMCC,,,Unmapped,,,,,,
5X Data LLC,DMCC,,,Unmapped,,,,,,
5X Pte Ltd,DMCC,,,Unmapped,,,,,,
800 Derma,DMCC,,,Unmapped,,,,,,
800 Doctor DMCC,DMCC,,,Unmapped,,,,,,
AAFAQ ISLAMIC FINANCE PSC,"DMCC, KUWA",Prepaid Expenses,Prepaid Expenses,Suggested,100%,1,26920.0,1,Zoho Bills (line items),AAFAQ ISLAMIC FINANCE PSC
Aarin - Professional,DMCC,,,Unmapped,,,,,,
Aarin Singh,DMCC,,,Unmapped,,,,,,
ABBAS QURESHI,KUWA,,,Unmapped,,,,,,
ABDELRAHMAN MOUSSA MOHAMED DESSOUKI,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,100%,1,900.0,1,Zoho Bills (line items),ABDELRAHMAN MOUSSA MOHAMED DESSOUKI
Abi Al Fidaa Medical Co. (LLC),DMCC,,,Unmapped,,,,,,
Absolute pest Control Services,KUWA,Office Expenses,Office Expenses,Suggested,100%,1,300.0,1,Zoho Bills (line items),Absolute pest Control Services
ABU DHABI COMMERCIAL BANK PJSC,"DMCC, KUWA",Bank Fees and Charges,Bank Fees and Charges,Suggested,98%,4,4763.0,2,Zoho Bills (line items),ABU DHABI COMMERCIAL BANK PJSC
Ace Craft - Assaad Ghanem,DMCC,,,Unmapped,,,,,,
Actartly Technology Private Limited,KUWA,Accrued Expenses,Accrued Expenses,Needs review,75%,338,208782.58,3,Zoho Bills (line items),Actartly Technology Private Limited
Actihealth,DMCC,,,Unmapped,,,,,,
AD Scholars  Marketing Management,DMCC,,,Unmapped,,,,,,
AD Supplements,DMCC,,,Unmapped,,,,,,
ADAMJEE INSURANCE COMPANY LIMITED - Dubai Branch,DMCC,,,Unmapped,,,,,,
ADCB,DMCC,,,Unmapped,,,,,,
ADDLESHAW GODDARD,HOLDING,,,Unmapped,,,,,,
adjust GmbH,DMCC,,,Unmapped,,,,,,
Adobe Systems Software Ireland Ltd,DMCC,,,Unmapped,,,,,,
Adret Retail Private (KAPIVA) USD,DMCC,,,Unmapped,,,,,,
Adret Retail Pvt Ltd,KUWA,Inventory Asset,Inventory Asset,Suggested,93%,578,4470023.04,6,Zoho Bills (line items),Adret Retail Pvt Ltd
Adriana Jankowska,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,100%,1,1400.0,1,Zoho Bills (line items),Adriana Jankowska
ADROIT BIOMED LTD.,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,91,63150.85,1,Zoho Bills (line items),ADROIT BIOMED LTD.
Advertii FZE,DMCC,,,Unmapped,,,,,,
ADWA ALHAYAT POLYCLINIC,KSA,,,Unmapped,,,,,,
Aesthetic Nutrition Pvt. Ltd,DMCC,Inventory Asset,Inventory Asset,Suggested,100%,58,39871.66,1,Zoho Bills (line items),Aesthetic Nutrition Pvt.Ltd
Aesthetic Nutrition Pvt.Ltd,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,58,39871.66,1,Zoho Bills (line items),Aesthetic Nutrition Pvt.Ltd
Afaq Al Sareea,DMCC,,,Unmapped,,,,,,
